Código;Cliente;Data Pedido;Data Entrega;Valor Pedido;Situação

9440;Valdirei C. David;2014-11-08;2014-11-18;38.46;Q;

9441;Melissa L.Rodrigues Lee;2008-09-19;2008-09-29;291.13;C;

9442;Edilvo Benkendorf Guialis;2014-04-10;2014-04-20;9643.49;Q;

9443;Alenilson Adorildo Naressi;2015-07-13;2015-07-23;6453.39;Q;

9444;Alinne Clarice Flores;2010-10-19;2010-10-29;6388.36;A;

9445;Amantina Valino Sangalli;2013-10-03;2013-10-13;6606.0;C;

9446;Madileine Amarante Souto;2009-01-30;2009-02-09;3405.45;I;

9447;Thales Silvia Salazar;2010-03-18;2010-03-28;7605.14;Q;

9448;Aleide Ceconi Amora;2010-02-20;2010-03-01;3551.21;A;

9449;Edelzuita Elisangela Belmiro;2009-07-02;2009-07-12;5056.47;Q;

9450;Samara Catarino Pens;2014-01-21;2014-02-01;4847.32;C;

9451;Roniel Deoclecir Anjos;2013-08-22;2013-09-02;3277.51;A;

9452;Juciaria B.Guimaraes Raminelli;2010-07-18;2010-07-28;2985.63;A;

9453;Francielly Jozemar Morinell;2013-11-12;2013-11-22;7997.31;Q;

9454;Silene Iops Steyer;2015-08-09;2015-08-19;531.24;I;

9455;Iverlon das Brizola;2012-06-05;2012-06-15;9459.14;C;

9456;Cinara Gouveia Wiest;2012-08-08;2012-08-18;2141.81;C;

9457;Celine Bloss Almeida;2011-04-30;2011-05-10;2816.63;I;

9458;Jhonny Almeida Piovesan;2010-04-05;2010-04-15;6678.5;A;

9459;Rosa Aninat Bruti;2011-07-20;2011-07-30;4773.89;Q;

9460;Medina T.Goulart Kleinert;2014-09-23;2014-10-02;6520.98;C;

9461;Leonise Steigleder Froemming;2009-01-12;2009-01-22;6180.36;Q;

9462;Sirlandio Leodoro Nogueira;2013-11-12;2013-11-22;3892.68;Q;

9463;Sidicleis Anselmo Bona;2012-01-19;2012-01-30;4850.94;C;

9464;Lita Marelete Piacentini;2016-03-31;2016-04-10;4510.17;I;

6275;Ederaldo Ledi Dilkin;2015-01-08;2015-01-18;7439.2;C;

6276;Melquisedeque Edivaldo Lictenfels;2015-03-22;2015-04-02;2163.05;A;

6277;Ronivon Eloe Gengnagel;2013-06-14;2013-06-24;5167.22;I;

6278;Odoario Pioly Anna;2015-01-01;2015-01-11;6793.59;Q;

6279;Remilson Blasio Glits;2013-12-13;2013-12-23;3356.31;A;

6280;Marizane Daliane Marcelino;2012-02-19;2012-02-28;8086.35;C;

6281;Otelino Caetano Emig;2015-09-18;2015-09-28;8090.69;Q;

6282;Sirlande Marilea Concatto;2008-10-20;2008-10-30;4675.72;Q;

6283;Hyure Rosinei Girotto;2012-08-15;2012-08-25;4504.31;I;

6284;Gledison Inocente Badermann;2008-07-28;2008-08-06;1771.38;C;

6285;Gildeilton Irena Menegott;2012-07-25;2012-08-03;4380.45;A;

6286;Lenira Fabiniano% Fulber;2008-11-15;2008-11-25;615.62;Q;

6287;Filipino Krummenauer Sacomori;2009-09-02;2009-09-12;1023.27;A;

6288;Dulcimara Juvenil Ventura;2013-06-14;2013-06-24;682.66;I;

6289;Jovenice Ostjen Encine;2015-07-23;2015-08-01;4427.1;Q;

6290;Rodileuza Schlowin Gressler;2010-07-25;2010-08-03;1670.95;I;

6291;Ivanio J.Fraga Durante;2009-06-16;2009-06-26;4292.17;Q;

6292;Angela Istelamar Anchieta;2012-07-12;2012-07-22;2919.69;Q;

6293;Juveliane Pedro Kassner;2010-07-08;2010-07-18;9892.32;I;

6294;Rogelio Djalmo Nantal;2015-11-27;2015-12-10;5957.32;I;

6295;Veroni Carina Frota;2008-11-24;2008-12-07;9659.68;Q;

6296;Geraldina Yara Cardoso;2010-05-12;2010-05-22;5713.06;Q;

6297;Jucelia Fraga Parizotto;2011-12-25;2012-01-01;7524.86;A;

6298;Arnaudo Celestino Jahn;2012-07-17;2012-07-27;545.32;I;

6299;Nataniel Ilto Rodrigues;2014-07-11;2014-07-21;2150.81;I;

6300;Davinir Marilu Freitas;2011-05-23;2011-06-02;4821.13;C;

6301;Marcone Zampirolio Germann;2013-11-18;2013-11-28;6632.25;A;

6302;Claudoir Nitsche Filimberti;2009-09-08;2009-09-18;8129.87;I;

6303;Niza Ilmo Zorzi;2015-01-14;2015-01-24;2251.72;A;

6304;Odenir Bruchez Germano;2008-09-05;2008-09-15;5713.39;A;

6305;Janailton Clemi Seifried;2009-04-09;2009-04-19;4538.63;C;

6306;Juane Janaete Mazzuchelo;2016-02-28;2016-03-08;7720.33;C;

6307;Jacenilde Leizer Humes;2015-12-18;2015-12-28;1807.54;C;

6308;Keli P.Da Appelt;2009-11-09;2009-11-19;1621.61;C;

6309;Quesia D% Chicatte;2015-08-16;2015-08-26;3182.95;A;

6310;Anivia Brites Policeno;2013-04-04;2013-04-14;9952.31;C;

6311;Oziene Kayser Grings;2009-08-08;2009-08-18;1492.79;I;

6312;Sileide Live Vilela;2013-02-23;2013-03-04;5696.83;C;

6313;Valderi Almindo Noll;2009-03-22;2009-04-02;8216.93;I;

6314;Iranilson Idelai Pujol;2014-08-20;2014-08-30;9550.77;A;

6315;Orandil Carime Dalamo;2010-12-11;2010-12-21;6608.71;A;

6316;Rozelene Loreni Abramsson;2012-07-31;2012-08-10;7647.95;A;

6317;Austeclinio Cleo Guiconi;2012-02-19;2012-02-28;3591.25;A;

6318;Dilma Silvane Clarindo;2014-01-25;2014-02-05;9010.58;I;

6319;Aquirio Zonta Slva;2008-08-18;2008-08-28;1203.89;Q;

6320;Rodivan Laureni Gallina;2010-03-09;2010-03-19;3887.24;Q;

6321;Odila Izaias Brocco;2013-02-01;2013-02-11;3802.76;Q;

6322;Marlusa Zenita Regra;2010-09-06;2010-09-16;7098.81;A;

6323;Waldick Cleomir Rosalino;2015-09-23;2015-10-02;9588.19;C;

6324;Lecio Viveiro Castanha;2009-01-26;2009-02-06;4667.21;Q;

6325;Nilson Policarpo Morandi;2012-03-24;2012-04-04;2479.3;C;

6326;Catia Damazio Peter;2012-11-03;2012-11-13;5841.05;A;

6327;Paulino Jandir Lauffer;2012-03-23;2012-04-03;9595.73;I;

6328;Valdai Dionete Gallas;2015-02-03;2015-02-13;2376.8;C;

6329;Sandreli S Caberlon;2015-09-08;2015-09-18;5045.49;I;

6330;Rilzabete Ilisandro Scariot;2009-04-29;2009-05-08;9580.01;Q;

6331;Lelio Vilanova dos Reis;2015-03-23;2015-04-03;6974.17;C;

6332;Zali Dorli Calheiro;2012-04-29;2012-05-09;1800.47;A;

6333;Deburgo Romualdo Kurtz;2010-06-11;2010-06-21;4924.45;C;

6334;Neraci F.Silva Derschsler;2012-07-01;2012-07-11;5598.02;Q;

6335;Hildete Anisia Jorix;2009-06-06;2009-06-16;3800.73;A;

6336;Edeildes Fauaze Blanco;2009-02-18;2009-02-28;2630.32;Q;

6337;Ormilton Goetems Apollo;2015-02-04;2015-02-14;2397.05;A;

6338;Samanta C. Rodrigues Nazare;2016-05-30;2016-06-09;6301.85;C;

6339;Leonice Schardong Ghesla;2015-07-18;2015-07-28;3382.99;C;

6340;Fraiane Seloi Sancigollo;2010-09-16;2010-09-26;7553.4;C;

6341;Celito Barberino Brut;2016-04-02;2016-04-12;568.93;Q;

6342;Lorici Graciela Conterno;2012-08-17;2012-08-27;2506.06;A;

6343;Neusice Sutel Henckel;2012-11-24;2012-12-07;6369.49;A;

6344;Francismar Suely Luduvice;2011-02-09;2011-02-19;2645.03;I;

6345;Lecio Berwanger Paes;2016-05-15;2016-05-25;1222.72;A;

6346;Clenilson Rogerio Jaroszewski;2012-12-24;2013-01-01;901.88;C;

6347;Hercilia Leonise Wellicks;2014-03-25;2014-04-05;568.65;Q;

6348;Jovenilton Tormes Kerschner;2009-06-12;2009-06-22;3484.57;I;

6349;Janeti Bartolomeu Marinho;2013-02-01;2013-02-11;4968.9;Q;

6350;Rozeni O.Diefenbach Nehering;2011-10-19;2011-10-29;864.57;C;

6351;Ilenir Remedi Thiel;2011-11-26;2011-12-09;9590.29;I;

6352;Cristovam Elissandra Aguida;2015-08-02;2015-08-12;1328.61;I;

6353;Jerson Dick Fermino;2010-07-02;2010-07-12;7634.12;Q;

6354;Givanilde S. das Morinel;2010-09-03;2010-09-13;1740.0;C;

6355;Marialva Pedrotti Sant'Anna;2008-09-29;2008-10-09;9478.34;Q;

6356;Ireni Munchen Barreiros;2012-07-03;2012-07-13;9101.55;C;

6357;Joyce Vanete Neto;2009-09-10;2009-09-20;3971.91;C;

6358;Weliton Krummenauer Berguemaier;2011-09-10;2011-09-20;1848.45;Q;

6359;Wandergledson Laurindo Raminelli;2014-08-20;2014-08-30;8080.18;I;

6360;Gicelda Edivan Rochembah;2013-02-18;2013-02-28;9574.12;C;

6361;Derani Delgado Friedrich;2014-03-05;2014-03-15;7301.34;C;

6362;Olindo Claiton Coutinho;2008-08-20;2008-08-31;8771.71;Q;

6363;Dimarais Ambrosio Montei;2015-09-30;2015-10-09;3412.08;Q;

6364;Maxsuel O.Andrade Meireles;2010-07-29;2010-08-07;8097.4;Q;

6365;Railson Ludwig Koeche;2012-07-12;2012-07-22;5551.34;I;

6366;Simara Glacir Sancho;2013-04-11;2013-04-21;5283.53;C;

6367;Gertulio Josinete Lorenzzetti;2011-11-13;2011-11-23;8317.15;C;

6368;Cosmelia Geovano Possan;2012-06-29;2012-07-10;614.98;A;

6369;Luzanilda Nunes Medeiros;2015-07-12;2015-07-22;5853.62;I;

6370;Bertolina S.Hilario Feistler;2012-04-10;2012-04-20;9981.7;A;

6371;Genice Tomczak Ramao;2012-01-28;2012-02-08;5202.35;C;

6372;Lindete Feijo Glenzel;2013-04-03;2013-04-13;4150.18;Q;

6373;Erbeni Isamar Scheffer;2015-05-01;2015-05-11;1517.64;A;

6374;Gilvania Tarciano Silvestre;2013-06-07;2013-06-17;7563.38;Q;

6375;Bartolomeu Macedos Lang;2016-04-28;2016-05-07;6522.27;I;

6376;Joseilza Veiga Harff;2016-05-12;2016-05-22;5015.48;A;

6377;Altemio Libarino Schunck;2012-04-06;2012-04-16;7990.68;Q;

6378;Dorivan C. dos Lopes;2008-12-22;2008-12-30;157.84;Q;

6379;Weder Schwantes Simoes;2009-09-22;2009-10-01;8141.78;C;

6380;Maranubia Avila Somonet;2009-08-04;2009-08-14;7438.19;I;

6381;Enedina Ten Trojahn;2012-06-23;2012-07-04;6695.62;Q;

6382;Lucirlene Henckel Marmitt;2012-11-20;2012-12-03;9187.03;I;

6383;Janivia Bechener Macario;2014-12-07;2014-12-17;3695.41;A;

6384;Urlany Burati Roese;2012-08-18;2012-08-28;2680.61;I;

6385;Rosenildo Cancino Pina;2014-01-06;2014-01-16;1321.01;A;

6386;Avilmar N. de Gama;2009-12-29;2010-01-05;6453.52;I;

6387;Licia Hunsche Paiva;2009-01-21;2009-02-01;903.02;I;

6388;Girlene T. S. de Specht;2016-05-16;2016-05-26;8886.36;A;

6389;Adiomar Quartieiro Kuball;2013-04-20;2013-04-30;7436.47;A;

6390;Rubinaldo Rubens Zini;2008-09-01;2008-09-11;1881.92;C;

6391;Anoir Volnei Possamai;2009-10-28;2009-11-07;2205.43;I;

6392;Franceleide Marianna Pernambuco;2011-01-08;2011-01-18;9688.38;I;

6393;Jomara Medeiro Fogt;2011-12-04;2011-12-14;5074.56;I;

6394;Leia Schenkel Camilo;2011-12-31;2012-01-10;6785.07;C;

6395;Filonila Paiva Vostal;2013-02-09;2013-02-19;5651.8;C;

6396;Abilene Neuri dos Reis;2015-07-14;2015-07-24;6110.27;Q;

6397;Jussileia Drabach Sonza;2008-10-09;2008-10-19;7779.59;Q;

6398;Dyego Prass Vara;2011-12-28;2012-01-04;4687.63;A;

6399;Voli Pioly Nogarra;2015-08-25;2015-09-05;3250.01;A;

6400;Gildoberto Palma Bozeski;2012-10-29;2012-11-08;7066.34;C;

6401;Evangleison Graca Volkart;2016-05-10;2016-05-20;884.58;A;

6402;Idelai Venilda Carpinski;2012-08-26;2012-09-06;5761.0;A;

6403;Gefson Roselaine Fauth;2014-01-02;2014-01-12;7624.75;C;

6404;Valterlando Maicon Lau;2010-12-16;2010-12-26;6476.53;I;

6405;Myck Venilda Fredes;2012-04-16;2012-04-26;8417.95;C;

8032;Velirio O.Pezzi Bottene;2013-09-25;2013-10-04;9750.58;A;

8033;Jeneci Maggioni Meneguzzi;2013-04-19;2013-04-29;4269.07;I;

8034;Cilene Marilea Zdanowicz;2013-11-21;2013-12-03;5347.52;I;

8035;Porcina Delvair Lageano;2008-11-19;2008-12-02;7929.75;I;

8036;Marlucia Santino Streck;2010-05-31;2010-06-10;5355.62;I;

8037;Clademir Florentina Dugato;2011-04-11;2011-04-21;9668.26;Q;

8038;Thalis Ireni Gattoni;2012-11-25;2012-12-08;1665.8;C;

8039;Elissiane Raupp Conti;2011-10-12;2011-10-22;7726.91;C;

8040;Girlei Aloir Buche;2015-06-29;2015-07-10;8942.25;I;

8041;Hilka Jaelma Delfino;2015-04-29;2015-05-08;8957.56;A;

621;Evenir Felizetti Biberg;2009-04-10;2009-04-20;2062.91;A;

622;Iolando Jordano Binello;2013-07-02;2013-07-12;7806.14;A;

623;Janadiel E. Pomponet;2013-01-11;2013-01-21;4521.23;A;

624;F¿tima Mar Primo;2010-10-30;2010-11-09;3670.76;A;

625;Andrelia Almicar Motta;2012-10-07;2012-10-17;9154.3;I;

626;Valacir Canto Sperandio;2010-02-08;2010-02-18;1812.75;A;

627;Melkue Rubin Brocco;2014-02-28;2014-03-10;6136.13;A;

628;Regina Michel Valentim;2012-08-04;2012-08-14;1769.28;Q;

629;Dalvan Santo Mucke;2009-03-27;2009-04-07;9621.05;A;

630;Ednice Rosecler Lencina;2011-06-18;2011-06-28;9353.37;Q;

631;Giselle Aloy Fredes;2012-11-22;2012-12-05;8927.52;A;

632;Gilenice Hack Wallauer;2016-04-28;2016-05-07;994.28;Q;

633;Jusselino Oscar Raaber;2009-05-21;2009-05-31;3471.27;I;

634;Marisete Neuri Caccavale;2015-06-02;2015-06-12;6779.28;I;

635;Alexio Merencio Flores;2011-12-24;2011-12-31;58.64;C;

636;Ledi Schnorr Ludvich;2016-03-13;2016-03-23;5511.27;A;

637;Jaqueline Joseane Selbach;2010-12-29;2011-01-07;865.77;I;

638;Edeveilson Yoshiko Fenner;2008-09-06;2008-09-16;9483.0;A;

639;Deni Emanoel Maria;2015-07-23;2015-08-01;6283.22;Q;

640;Martina Damascena Hunhfleisch;2011-02-02;2011-02-12;2778.3;C;

641;Vandir K. M.Fernandes;2010-04-23;2010-05-02;5682.46;I;

642;Rochele Jocimar Fanton;2013-12-24;2013-12-31;6520.41;I;

643;Jandecleison Godinho Aragao;2010-02-26;2010-03-07;4872.59;I;

644;Gilenilson Michael Prestes;2012-07-27;2012-08-05;6615.76;A;

645;Jesmario Fernando Elisiario;2008-12-01;2008-12-11;7861.45;C;

646;Amaraisa Contreira Weyermuller;2009-09-28;2009-10-07;8466.05;Q;

647;Valdimar Ferrao Cascalho;2015-07-07;2015-07-17;3500.59;C;

648;Suzane Zucco Rosa;2009-07-20;2009-07-30;4374.25;Q;

649;Giano Salviano Arsand;2009-09-26;2009-10-05;3601.84;A;

650;Edemildes Elton Jungthon;2015-09-24;2015-10-03;553.81;C;

651;Kaio Dayana Aguiar;2008-07-03;2008-07-13;6536.07;Q;

652;Saad Gampert Texeira;2008-12-06;2008-12-16;4409.83;A;

653;Aderval Mascarenha Wickboldt;2012-12-12;2012-12-22;7023.53;C;

654;Rossano Scrini Groff;2013-04-10;2013-04-20;3331.97;I;

655;Josiara Gleber Franco;2013-05-26;2013-06-05;8827.72;Q;

656;Ednice Oberdan Marian;2012-01-09;2012-01-19;5283.14;I;

657;Ildefonso Christine Frederes;2013-01-23;2013-02-03;3931.88;C;

658;Jenilton Werno Gutierrez;2010-08-07;2010-08-17;3180.03;Q;

659;Mariano Hilda Mossmann;2014-05-09;2014-05-19;6707.02;I;

660;Jeconias Suarez Rauber;2014-07-09;2014-07-19;817.06;A;

661;Uilian Mariazinha Fergofe;2015-05-23;2015-06-02;6573.74;Q;

662;Egildo Vicentina Santanna;2008-10-02;2008-10-12;9484.71;Q;

663;Genuzia S.Albuquerq Caetan;2014-07-10;2014-07-20;3369.29;Q;

664;Celineila D.Santos Greiner;2008-11-16;2008-11-26;2619.54;I;

665;Wilk Cafe Froge;2010-09-25;2010-10-04;8480.71;I;

666;Juliana Luiza Zanetti;2014-11-19;2014-12-02;9799.22;Q;

667;Mirani Marelisa Mello;2013-04-08;2013-04-18;9770.34;Q;

668;Germanio Delmiro Mueller;2009-09-02;2009-09-12;6203.29;C;

669;Rozana Libarino Schimmelpfenig;2013-07-22;2013-07-31;7413.75;Q;

670;Lori Pithan Bueno;2009-12-08;2009-12-18;1639.84;Q;

671;Otaniel Lucia Emmel;2009-03-21;2009-04-01;2447.56;I;

672;Anilton Zeli Bertotto;2010-12-10;2010-12-20;7338.26;C;

673;Iloir Dalmar S.Fonseca;2013-08-07;2013-08-17;4248.32;I;

674;Dalton Ledur Dellagostin;2014-03-25;2014-04-05;3815.83;A;

675;Palmirenio Dalsatto Schorr;2008-07-26;2008-08-04;5574.32;C;

676;Jeancarlos Diemer P.Carvalho;2016-01-27;2016-02-07;9914.36;I;

677;Marinalda Lovato Maceno;2015-03-12;2015-03-22;6273.19;Q;

678;Ismaik Ronaldo Washburger;2014-08-14;2014-08-24;8011.82;A;

679;Marnei Palmito Francelino;2013-03-25;2013-04-05;8035.01;Q;

680;Rosimari Magni Possam;2015-09-07;2015-09-17;2757.14;I;

681;Dinilson Analice Georgi;2013-02-18;2013-02-28;2356.56;C;

682;Guinaldo Ledur Trampusch;2015-07-08;2015-07-18;2673.2;A;

683;Antonioni S.Kolhrausch Parizotto;2015-05-24;2015-06-03;6169.11;A;

684;Francislei Macario Conti;2012-01-12;2012-01-22;6645.58;A;

685;Nilzete Karpinski Voges;2014-09-30;2014-10-09;2686.34;C;

686;Shoiti Possiano Braz;2010-03-05;2010-03-15;7756.24;A;

687;Wendell Van Moraes;2011-04-21;2011-04-30;6267.42;C;

688;Aurisangela Irrael Keller;2010-10-08;2010-10-18;7393.16;Q;

689;Elivania Brogni Franca;2010-10-14;2010-10-24;9949.31;Q;

690;Mabson Elisiane Canabarro;2012-04-01;2012-04-11;6755.66;A;

691;Leanderson Elena Hartk;2014-09-02;2014-09-12;6318.34;A;

692;Claudyr Cleo Weschenfelder;2015-07-10;2015-07-20;7429.51;C;

693;Darkson Edina Hansen;2013-05-06;2013-05-16;8968.71;C;

694;Adevilson Andriano Nova;2012-10-07;2012-10-17;9642.5;I;

695;Cladir Hunsche Leites;2013-01-17;2013-01-27;5387.83;Q;

696;Jaci Igo Cardozo;2010-05-02;2010-05-12;4164.17;Q;

697;Elzito S.Albuquerq Gottfried;2013-02-06;2013-02-16;6320.63;C;

698;Sidimar Josiele Benkenstein;2009-12-23;2009-12-30;4643.93;I;

699;Dmario Ediberto Pospichil;2009-12-21;2009-12-29;2820.05;C;

700;Adi S.Kolhrausch Celistre;2014-07-02;2014-07-12;5276.2;I;

701;Genilsa R.N. Klaus;2012-11-12;2012-11-22;106.89;A;

702;Wildenberg Juchniewski Satig;2013-05-24;2013-06-03;5938.14;C;

703;Acassia Villas Tamburi;2010-01-11;2010-01-21;1713.51;A;

704;Sirleia Friedrich Morinell;2010-10-31;2010-11-10;7840.16;I;

705;Recier Sidnei Adamatti;2012-10-17;2012-10-27;4359.64;A;

706;Elivanda Denisio Bucgs;2011-06-12;2011-06-22;2111.39;C;

707;Loidemar Ten Hillesheim;2009-06-10;2009-06-20;4325.19;C;

708;Lisley Raffo Irmao;2012-03-12;2012-03-22;3297.72;A;

709;Cleosane Gelson Forte;2009-07-05;2009-07-15;1344.79;C;

710;Valdenio Hora Souto;2009-07-30;2009-08-08;6863.73;Q;

711;Zico Queli Bottoni;2010-02-22;2010-03-03;8030.28;I;

712;Elaneide Cunha Porsch;2008-12-08;2008-12-18;6278.44;A;

713;Maci Ventil Tejkowski;2015-03-03;2015-03-13;5843.23;I;

714;Waldeck Ivair Lambert;2015-07-02;2015-07-12;2877.13;A;

715;Divaelson Bauer Fergofe;2015-11-08;2015-11-18;7452.65;Q;

716;Joesley Celita Wieczovkovski;2012-03-17;2012-03-27;9250.08;I;

717;Ivaney Sanches Krummenauer;2012-09-02;2012-09-12;7241.95;I;

718;Catiane G. P.Carvalho;2015-04-10;2015-04-20;9626.71;Q;

719;Nosman D`Avila Wieczoreki;2015-05-08;2015-05-18;13.7;Q;

720;Caciani N. de Ciceri;2013-04-19;2013-04-29;8431.01;Q;

721;Gersiel Fabiane Gegler;2015-10-30;2015-11-09;6555.88;C;

722;Enoque S.Lacerda Rohers;2014-12-14;2014-12-24;6089.68;Q;

723;Ismail G.Oliveira Guerreiro;2011-06-01;2011-06-11;3633.8;I;

724;Iuirislane Soller Dahlem;2012-01-25;2012-02-05;6383.46;I;

725;Marion Leoni Cavalheiro;2014-12-11;2014-12-21;1283.34;A;

726;Nadjane Jacob Boeck;2013-02-21;2013-03-02;7825.39;Q;

727;Miraildo Jaci Bartelle;2013-08-30;2013-09-10;1503.43;I;

728;Solandro Neiva Bassani;2012-08-21;2012-09-01;569.96;C;

729;Edicarlos Hedio Prelelue;2013-04-22;2013-05-01;8449.76;Q;

730;Marlucio Delcio Kuntz;2009-11-11;2009-11-21;8384.37;C;

731;Clauber Gilson Pastro;2010-03-22;2010-04-02;5191.56;A;

732;Francelia Dornelles Lazarotti;2011-03-01;2011-03-11;6370.08;A;

733;Odelcio Britto Adanski;2014-01-10;2014-01-20;3950.96;I;

734;Aldinelia Givanildo Brescovit;2010-09-11;2010-09-21;9738.52;I;

735;Cledio T. da Horbach;2012-04-02;2012-04-12;598.3;C;

736;Belotris Paulino Utz;2014-02-08;2014-02-18;6706.2;Q;

737;Iagaro Valtor Candido;2010-04-21;2010-04-30;4774.59;C;

738;Catiuse Juarez Menegott;2015-06-15;2015-06-25;495.3;A;

739;Lindiane Teotonio Meazza;2009-04-27;2009-05-06;9933.3;A;

740;Jesmario Benta Filipini;2015-12-08;2015-12-18;4021.12;Q;

741;Leonira Berkeuer Felipiak;2009-02-05;2009-02-15;4620.96;I;

742;Jivanildo Joacir Trampuch;2010-08-16;2010-08-26;4298.71;I;

743;Luzia Ambrozio Heller;2008-09-27;2008-10-06;3672.6;I;

744;Hildinei Gouveia Te;2014-11-02;2014-11-12;5793.54;I;

745;Geinisson Liceu Aires;2014-07-08;2014-07-18;9622.79;C;

746;Ebson Derci Wieczoreki;2015-09-26;2015-10-05;3771.98;A;

747;Nubia Joseli Scheffer;2011-01-02;2011-01-12;6680.58;I;

748;Matheus Alencor Nerike;2014-12-29;2015-01-05;6211.66;C;

749;Glauton Cecilia Hirt;2012-02-05;2012-02-15;9270.21;Q;

750;Valtezer Lizete Rothmann;2014-10-27;2014-11-06;5391.53;I;

751;Jorginei E.Costa Macena;2010-08-26;2010-09-06;2596.18;I;

752;Alveri Pospich Tafernaberri;2013-12-21;2013-12-29;2877.51;A;

753;Marcelio Adorildo Terres;2015-08-10;2015-08-20;734.6;I;

754;Magna Aelton Pletsch;2015-11-19;2015-12-02;6443.85;C;

755;Josival Reboucas S.Fonseca;2016-01-05;2016-01-15;1660.67;Q;

756;Ednilton Ferreira Blodorn;2009-11-05;2009-11-15;1380.23;I;

757;Maritania Linck Zuch;2011-06-11;2011-06-21;3764.53;I;

758;Rubinaldo Rubens Zini;2016-02-13;2016-02-23;3206.93;C;

759;Juarez Noebert Cortina;2012-07-12;2012-07-22;8400.12;Q;

760;Clenita Filippe Winck;2013-06-09;2013-06-19;2810.4;I;

761;Sidelmar Krug Xavier;2010-08-14;2010-08-24;496.76;I;

762;Iete Pippi Giordano;2011-06-24;2011-07-05;9506.75;Q;

763;Tamires Elisa Baldin;2016-01-20;2016-01-31;9657.8;C;

764;Giovanna Messias Mares;2015-09-09;2015-09-19;5285.75;C;

765;Alcidinei Alvaro Eggers;2008-07-30;2008-08-08;6603.24;C;

766;Denizio Robson Bica;2012-08-20;2012-08-31;8618.59;Q;

767;Norci Cedro Domingues;2012-10-28;2012-11-07;2985.64;C;

768;Valdoberto Josuane Muller;2014-09-09;2014-09-19;618.82;I;

769;Cacia Arcildo Tizato;2008-12-13;2008-12-23;3362.43;I;

770;Eldagir Kubiezewski Grohe;2015-11-11;2015-11-21;7386.94;C;

771;Alexsandro Roth Vale;2011-02-21;2011-03-02;3272.2;I;

772;Nazare Raquel Ermel;2011-12-08;2011-12-18;1863.91;A;

773;Rosarete Martins Raach;2010-06-24;2010-07-05;3926.41;I;

774;Wagno Vilma Rosario;2013-12-13;2013-12-23;3676.29;Q;

775;Micheli Dulce Wallauer;2013-12-22;2013-12-29;4225.55;Q;

776;Anibaldo Flor Paiva;2008-08-11;2008-08-21;6179.66;A;

777;Ivailde Valadares Desotti;2011-11-02;2011-11-12;9851.66;Q;

778;Zoraide Daitx Kosmann;2014-11-02;2014-11-12;315.38;A;

779;Atila Reolon Gonsalves;2013-07-06;2013-07-16;2596.12;A;

780;Alonso Neves Coletti;2010-02-11;2010-02-21;554.55;Q;

781;Helenilson Valdeci Selbach;2015-06-03;2015-06-13;3217.92;C;

782;Avanilton das Gonzalez;2011-10-27;2011-11-06;4089.61;A;

783;Carlene Raimundo Assis;2008-07-30;2008-08-08;3437.47;Q;

784;Seli Scariot Manica;2011-02-15;2011-02-25;9174.36;Q;

785;Morgerio Castro Passos;2011-01-28;2011-02-08;4829.21;C;

10559;Catiuscia Godinho Ronzoni;2014-01-06;2014-01-16;6842.23;A;

10560;Searia Gessi Vecker;2013-12-27;2014-01-03;7740.31;C;

10561;Jundiomar Henker Cascalho;2008-09-16;2008-09-26;7705.5;A;

10562;Dayane Caravalho Maas;2008-09-13;2008-09-23;2946.45;I;

10563;Radael Jacobus Rheinheimer;2009-03-24;2009-04-04;8988.42;C;

10564;Manelito Aleixo Kaefer;2009-06-11;2009-06-21;9506.59;Q;

10565;Uelber Kunrath Schulz;2015-12-29;2016-01-05;5261.34;A;

10566;Jilenilson Valdoni Mooser;2011-07-31;2011-08-10;9992.05;I;

10567;Clauston Giraldi Schaefer;2013-02-18;2013-02-28;9592.1;Q;

10568;Quetri Marluce Hubert;2014-01-01;2014-01-11;9296.87;I;

10569;Ayala C.F.Henker Bergenthal;2013-09-12;2013-09-22;1225.21;C;

10570;Cleiston Taciana Knecht;2011-04-27;2011-05-06;2918.29;I;

10571;Vorlei Sidicleis Blaszczekievicz;2015-05-25;2015-06-04;6648.23;A;

10572;Edval Penha Schapuis;2016-01-19;2016-01-30;6402.35;C;

10573;Claire Adriani Schmidtt;2010-12-16;2010-12-26;2986.21;C;

10574;Zildene Belmiro Skorek;2014-10-28;2014-11-07;1159.93;Q;

10575;Elciene Sirnei Joaquin;2012-06-10;2012-06-20;9942.78;C;

10576;Vanderlan Mota Woitchumas;2013-11-08;2013-11-18;8065.57;A;

10577;Vauro D.Da Vaes;2008-08-23;2008-09-03;3197.62;A;

